Entry	Gene names	Subunit structure [CC]
O35218	Cpsf2 Cpsf100 Mcpsf	SUBUNIT: Component of the cleavage and polyadenylation specificity factor (CPSF) complex, composed of CPSF1, CPSF2, CPSF3, CPSF4 and FIP1L1. Interacts with CPSF3, CSTF2 and SYMPK (By similarity). Interacts with ZC3H3 (PubMed:16115198). {ECO:0000250|UniProtKB:Q9P2I0, ECO:0000269|PubMed:16115198}.
P97742	Cpt1a Cpt-1 Cpt1	SUBUNIT: Homohexamer and homotrimer. Identified in a complex that contains at least CPT1A, ACSL1 and VDAC1. Also identified in complexes with ACSL1 and VDAC2 and VDAC3 (By similarity). {ECO:0000250}.
Q924X2	Cpt1b	
A2AMZ4		
Q8BGJ3		
Q01147	Creb1 Creb-1	SUBUNIT: Interacts with PPRC1. Binds DNA as a dimer. This dimer is stabilized by magnesium ions. Interacts, through the bZIP domain, with the coactivators TORC1/CRTC1, TORC2/CRTC2 and TORC3/CRTC3. Interacts (phosphorylated form) with TOX3 (By similarity). When phosphorylated on Ser-133, binds CREBBP. Interacts with ARRB1. Binds to HIPK2 (By similarity). Interacts with SGK1 (By similarity). Interacts with CREBL2; regulates CREB1 phosphorylation, stability and transcriptional activity. {ECO:0000250, ECO:0000269|PubMed:10952992, ECO:0000269|PubMed:21728997, ECO:0000269|PubMed:8552098}.
Q9CYA0	Creld2	SUBUNIT: May interact with CHRNA4. {ECO:0000250}.
Q61597	Crygc Gammab-cry	
P04342	Crygd	
Q9CXV3	Crygf	
Q6Q6R3	Crip3 Tlp	
A2A5I3	R3hdml	
Q80YA8	Crb2	
D3Z070		
Q8CG14	C1sa C1s	SUBUNIT: C1 is a calcium-dependent trimolecular complex of C1q, C1r and C1s in the molar ration of 1:2:2. Activated C1s is an disulfide-linked heterodimer of a heavy chain and a light chain (By similarity). {ECO:0000250}.
P02664	Csn1s2b Csnd Csne	
Q91YQ3	Csdc2 Pippin	
Q91W50	Csde1 D3Jfr1	SUBUNIT: Component of a multi subunit autoregulatory ribonucleoprotein complex (ARC), at least composed of IGF2BP1, PABPC1 and CSDE1. Interacts with STRAP. Part of a complex associated with the FOS mCRD domain and consisting of PABPC1, PAIP1, HNRPD and SYNCRIP. The interaction with PABPC1 is direct and RNA-independent (By similarity). {ECO:0000250}.
P0C092	Kcnip3 Csen Dream Kchip3	
P07141	Csf1 Csfm	SUBUNIT: Homodimer or heterodimer; disulfide-linked. Interacts with CSF1R. {ECO:0000269|PubMed:19017797}.
Q62507	Coch	SUBUNIT: Monomer. May form homodimer. Interacts with type II collagen. Interacts with SLC44A2. Interacts with ANXA2. {ECO:0000250|UniProtKB:O43405}.
O35206	Col15a1	SUBUNIT: Trimer; disulfide-linked. {ECO:0000250}.
Q8R1U1	Cog4	SUBUNIT: Monomer. Component of the conserved oligomeric Golgi (COG) complex which is composed of eight different subunits and is required for normal Golgi morphology and localization. Mediates interaction of SCFD1 with the COG complex. Interacts with STX5 (By similarity). {ECO:0000250}.
P01193	Pomc Pomc1	
O35348	Colq	SUBUNIT: Homotrimer. Component of the asymmetric form of AChE, a disulfide-bonded oligomer composed of the collagenic subunits (Q) and a variable number of asymmetric catalytic subunits (T). The N-terminal of a collagenic subunit (Q) associates with the C-terminal of a catalytic subunit (T) (By similarity). {ECO:0000250}.
Q8JZY2	Commd10	SUBUNIT: Interacts (via COMM domain) with COMMD1 (via COMM domain). Interacts with RELA, RELB, NFKB1/p105, NFKB2/p100. Interacts with CCDC22, CCDC93, SCNN1B, CUL1, CUL2, CUL3, CUL4A, CUL4B, CUL7. {ECO:0000250|UniProtKB:Q9Y6G5}.
O88587	Comt Comt1	
P97478	Coq7	SUBUNIT: Component of a multi-subunit COQ enzyme complex, composed of at least COQ3, COQ4, COQ5, COQ6, COQ7 and COQ9. Interacts with ADCK4 and COQ6. Interacts with COQ9. {ECO:0000255|HAMAP-Rule:MF_03194}.
O89053	Coro1a Coro1	SUBUNIT: Binds actin. {ECO:0000250}.
Q9WUM4	Coro1c	SUBUNIT: Homotrimer. Binds F-actin (By similarity). {ECO:0000250}.
Q8CFY5	Cox10	
Q8BJ03	Cox15	
Q8VC74	Cox18 Oxa1l2	
Q9D7J4	Cox20 Fam36a	
A6H666	Cox8c	
Q8C708		
Q3UST5		SUBUNIT: Homodimer. {ECO:0000250}.
Q62036	Cep131 Az1 Azi Azi1	SUBUNIT: Self-associates (By similarity). Associates with the centriolar satellite BBSome protein complex (PubMed:24550735) Interacts with BBS4; the interaction limits BBS4 availability for association with the BBSome complex, and hence negatively regulates ciliary localization of the BBSome complex. Interacts with MIB1. Interacts with PCM1; the interaction increases in response to ultraviolet light (UV) radiation. Associates with microtubule; association to microtubule is reduced in response to cellular stress, such as UV stimulation, in a process that requires p38 MAP kinase signaling. Interacts with CEP290, DCTN1, MAP1LC3B, PCNT, PCM1 and CEP152 (By similarity). Interacts with 14-3-3 proteins following UV-induced phosphorylation by MAPKAPK2; this inhibits formation of novel centriolar satellites (By similarity). {ECO:0000250|UniProtKB:Q9UPN4, ECO:0000269|PubMed:24550735}.
P56655	Cyp2c38	
O35084	Cyp27b1 Cyp27b Cyp40	
Q9CX98	Cyp2u1	
Q64481	Cyp3a16 Cyp3a-16	
O09158	Cyp3a25	
Q99N16	Cyp4f3 Cyp4f18	
Q7TN99	Cpeb3 Kiaa0940	
Q9DBB9	Cpn2	SUBUNIT: Tetramer of two catalytic chains and two glycosylated inactive chains. {ECO:0000250}.
O88456	Capns1 Capn4	SUBUNIT: Homodimer or heterodimer of a large (catalytic) and a small (regulatory) subunit. In presence of calcium, the heterodimer dissociates (By similarity). {ECO:0000250}.
Q8BFS6	Cpped1 Cstp1	
Q9D6W8		
Q9DAQ5		
Q9DAN9		
Q3THF9	Coq10b	SUBUNIT: Interacts with coenzyme Q. {ECO:0000250}.
Q91WE4		
Q8R555	Crtac1 Aspic1 Cep68	
O88843	Cradd Raidd	SUBUNIT: Interacts with PIDD. {ECO:0000269|PubMed:22279524}.
O35486	Crygs	SUBUNIT: Monomer. {ECO:0000250}.
O88668	Creg1 Creg	SUBUNIT: Homodimer. Interacts with IGF2R; the interaction is dependent on glycosylation (By similarity). {ECO:0000250}.
Q8CDG5	Crebrf	SUBUNIT: Interacts (via leucine-zipper domain) with CREB3 (via leucine-zipper domain); the interaction promotes CREB3 degradation. {ECO:0000250}.
P35347	Crhr1 Crhr	SUBUNIT: Heterodimer; heterodimerizes with GPER1 (By similarity). Interacts (via N-terminal extracellular domain) with CRH and UCN. Interacts with DLG1; this inhibits endocytosis of CRHR1 after agonist binding. {ECO:0000250, ECO:0000269|PubMed:23576434}.
Q8CIT0	Crh Gm1347	SUBUNIT: Interacts (via C-terminus) with CRFR1 (via N-terminal extracellular domain). {ECO:0000250|UniProtKB:P06850}.
Q03401	Crisp1 Aeg-1 Aeg1	
P14847	Crp Ptx1	SUBUNIT: Homopentamer. Pentaxin (or pentraxin) have a discoid arrangement of 5 non-covalently bound subunits. Interacts with FCN1; may regulate monocyte activation by FCN1 (By similarity). {ECO:0000250}.
Q149L7	Crtam	SUBUNIT: Interacts with CADM1. {ECO:0000269|PubMed:15781451, ECO:0000269|PubMed:15811952}.
Q8VHS2	Crb1	SUBUNIT: In photoreceptor cells, forms a complex with MPDZ, MPP4 and MPP5.
P97784	Cry1	SUBUNIT: Component of the circadian core oscillator, which includes the CRY proteins, CLOCK or NPAS2, ARNTL/BMAL1 or ARNTL2/BMAL2, CSNK1D and/or CSNK1E, TIMELESS, and the PER proteins. Interacts directly with TIMELESS. Interacts directly with PER1 and PER2 C-terminal domains. Interaction with PER2 inhibits its ubiquitination and vice versa. Interacts with FBXL21. Interacts with FBXL3. Interacts with PPP5C (via TPR repeats). Interacts with the CLOCK-ARNTL/BMAL1 independently of PER2 and DNA. Interacts with HDAC1, HDAC2 and SIN3B. Interacts with nuclear receptors AR, NR1D1, NR3C1/GR, RORA and RORC; the interaction with at least NR3C1/GR is ligand dependent. Interacts with PRKDC. Interacts with the G protein subunit alpha GNAS; the interaction may block GPCR-mediated regulation of cAMP concentrations. Interacts with PRMT5. Interacts with EZH2. Interacts with MYBBP1A, DOCK7, HNRNPU, RPL7A, RPL8 and RPS3. {ECO:0000269|PubMed:10428031, ECO:0000269|PubMed:11875063, ECO:0000269|PubMed:11889036, ECO:0000269|PubMed:14701732, ECO:0000269|PubMed:15226430, ECO:0000269|PubMed:16478995, ECO:0000269|PubMed:16717091, ECO:0000269|PubMed:17462724, ECO:0000269|PubMed:18953409, ECO:0000269|PubMed:19129230, ECO:0000269|PubMed:19917250, ECO:0000269|PubMed:20159955, ECO:0000269|PubMed:21613214, ECO:0000269|PubMed:22170608, ECO:0000269|PubMed:23133559, ECO:0000269|PubMed:23418588, ECO:0000269|PubMed:23452855, ECO:0000269|PubMed:23452856, ECO:0000269|PubMed:23746849, ECO:0000269|PubMed:24158435, ECO:0000269|PubMed:24489120}.
H3BKT1		
Q8CH19	Csnka2ip CKT2	SUBUNIT: Interacts (via C-terminus) with CSNK2A2. {ECO:0000269|PubMed:19273531}.
Q9DBE0	Csad	SUBUNIT: Homodimer. {ECO:0000250}.
O54833	Csnk2a2	SUBUNIT: Heterotetramer composed of two catalytic subunits (alpha chain and/or alpha' chain) and two regulatory subunits (beta chains). The tetramer can exist as a combination of 2 alpha/2 beta, 2 alpha'/2 beta or 1 alpha/1 alpha'/2 beta subunits. Also part of a CK2-SPT16-SSRP1 complex composed of SSRP1, SUPT16H, CSNK2A1, CSNK2A2 and CSNK2B, which forms following UV irradiation. Interacts with RNPS1 (By similarity). Interacts with CSNKA2IP (via C-terminus) (PubMed:19273531). {ECO:0000250|UniProtKB:P19784, ECO:0000269|PubMed:19273531}.
O88543	Cops3 Csn3	SUBUNIT: Component of the CSN complex, composed of COPS1/GPS1, COPS2, COPS3, COPS4, COPS5, COPS6, COPS7 (COPS7A or COPS7B) and COPS8. In the complex, it probably interacts directly with COPS1, COPS4 and COPS8. Interacts with CK2 and PKD. Interacts with the translation initiation factor EIF3S6 and IKBKG (By similarity). {ECO:0000250}.
Q8VBV7	Cops8 Csn8	SUBUNIT: Component of the CSN complex, composed of COPS1/GPS1, COPS2, COPS3, COPS4, COPS5, COPS6, COPS7 (COPS7A or COPS7B) and COPS8. In the complex, it probably interacts directly with COPS3, COPS4 and COPS7 (COPS7A or COPS7B) (By similarity). {ECO:0000250}.
O08792	Ebf2 Coe2 Mmot1	SUBUNIT: Forms either a homodimer or a heterodimer with a related family member. {ECO:0000269|PubMed:9151732}.
Q8K4J2	Ebf4 Coe4	SUBUNIT: Forms either a homodimer or a heterodimer with a related family member.
Q3UM29	Cog7	SUBUNIT: Component of the conserved oligomeric Golgi complex which is composed of eight different subunits and is required for normal Golgi morphology and localization. {ECO:0000250}.
Q9JJA2	Cog8 MNCb-5704	SUBUNIT: Component of the conserved oligomeric Golgi complex which is composed of eight different subunits and is required for normal Golgi morphology and localization. {ECO:0000250}.
P39061	Col18a1	
Q3SXB8	Colec11	
Q8K4Q8	Colec12 Clp1 Srcl	SUBUNIT: The extracellular domain forms a stable trimer (By similarity). The extracellular domain interacts with fibrillar beta amyloid peptide. {ECO:0000250, ECO:0000269|PubMed:16868960, ECO:0000269|PubMed:17420244}.
Q3UW21	Clpsl2 Gm749	
O55029	Copb2	SUBUNIT: Oligomeric complex that consists of at least the alpha, beta, beta', gamma, delta, epsilon and zeta subunits. Probably interacts with PEX11A. Interacts with SCYL1. Interacts with JAGN1 (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:P35606}.
Q9CQI6	Cotl1 Clp	SUBUNIT: Interacts with 5-lipoxygenase (ALOX5/5LO) in a calcium-independent manner. Binds to F-actin with a stoichiometry of 1:2 (By similarity). {ECO:0000250}.
P56393	Cox7b	
P17665	Cox7c Cox7c1	
Q64445	Cox8a Cox8 Cox8l	
Q8C784		
Q922R1		
Q14AM7		
Q9D4A5		
Q7TSH4	Ccp110 Cep110 Cp110 Kiaa0419	SUBUNIT: Interacts with CALM1, CETN2, CEP76, CEP97, CEP104, CEP290, TALPID3. Seems to associate with discrete CETN2, CEP97 and CEP290-containing complexes. Interacts with NEURL4 and CCNF; these interactions are not mutually exclusive and both lead to CCP110 ubiquitination and proteasome-dependent degradation. Via its interaction with NEURL4, may indirectly interact with HERC2. Interacts with KIF24, leading to its recruitment to centrioles. Interacts with USP20 and USP33 (By similarity). {ECO:0000250|UniProtKB:O43303}.
Q9QZ82	Cyp11a1 Cyp11a	SUBUNIT: Interacts with FDX1/adrenodoxin. {ECO:0000250}.
Q6P5D4	Cep135 Cep4 Kiaa0635	SUBUNIT: Interacts with CEP250 (By similarity). Interacts with DCTN2. {ECO:0000250|UniProtKB:Q66GS9, ECO:0000269|PubMed:14983524}.
P28649	Cyp19a1 Arom Cyp19	
Q8BKE6	Cyp20a1	
O55071	Cyp2b19	
Q9DBW0	Cyp4v2 Cyp4v3	
Q6A152	Cyp4x1	
Q8C166	Cpne1	SUBUNIT: Homodimer; homodimerizes via its C2 domains. Interacts with p65/RELA (via N-terminus); this interaction induces proteolytic cleavage of p65/RELA subunit and inhibition of NF-kappa-B transcriptional activity. Interacts (via VWFA domain) with ACTB, CCDC22, MYCBP2, PPP5C, RDX and UBE2O. {ECO:0000250|UniProtKB:Q99829}.
Q8BLR2	Cpne4	SUBUNIT: Interacts (via VWFA domain) with ACTB, BCOR, BICD2, CCDC22, CDC42BPB, CEP162, MYCBP2, NONO, PDCD6, PITPNM2, RDX, SKIL, SKT, SPTBN1, UBE2O and WTAP. {ECO:0000250|UniProtKB:Q96A23}.
Q1RLL3	Cpne9	
Q8BQZ5	Cpsf4 Cpsf30	SUBUNIT: Component of the cleavage and polyadenylation specificity factor (CPSF) complex, composed of CPSF1, CPSF2, CPSF3, CPSF4 and FIP1L1. Interacts with FIP1L1 (By similarity). {ECO:0000250}.
Q8BTV2	Cpsf7	SUBUNIT: Component of the cleavage factor Im (CFIm) complex, composed of, at least, NUDT21/CPSF5 and CPSF6 or CPSF7. Within the cleavage factor Im complex, the NUDT21/CPSF5 homodimer is at the core of a heterotetramer, and is clasped by two additional subunits (CPSF6 or CPSF7). Interacts with NUDT21/CPSF5 (By similarity). {ECO:0000250}.
Q32P12		
Q08AU9		
Q9D979		
Q6PIX9	D11Wsu47e	
Q8BH52	Creb3l2 Bbf2h7	SUBUNIT: Binds DNA as a dimer. {ECO:0000250}.
Q920C1	Chrdl1 Ng1 Nrln1	
Q8VEA6	Chrdl2 Chl2	SUBUNIT: Interacts with GDF5. May interact with INHBA, BMP2, BMP4, BMP5, BMP6, and BMP7. {ECO:0000269|PubMed:14660436}.
Q61817	Creb3 Lzip	SUBUNIT: Homodimer. Interacts with HCFC1; the interaction is required to stimulate CREB3 transcriptional activity. Interacts with CREBZF; the interaction occurs only in combination with HCFC1. Interacts (via central part and transmembrane region) with TM7SF4 (via C-terminus cytoplasmic domain). Interacts with OS9. Interacts (via leucine-zipper domain) with CREBRF (via leucine-zipper domain); the interaction occurs only after CREB3 activation and promotes CREB3 degradation. Interacts (via C-terminal domain) with CCR1 (By similarity). {ECO:0000250}.
Q8BGC9	Creg2	
P27699	Crem	SUBUNIT: Binds DNA as a dimer (By similarity). Interacts with CDC34 (By similarity). Interacts with FHL5. Isoform 1 forms a heterodimer with CREB3L4. {ECO:0000250, ECO:0000269|PubMed:10086359, ECO:0000269|PubMed:16595651}.
P63154	Crnkl1	SUBUNIT: Identified in the spliceosome C complex. Present in a spliceosome complex assembled in vitro containing CRNKL1, HPRP8BP and SNRPB2. Interacts with PPIL2 (via the PPIase cyclophilin-type domain); they may form a trimeric complex with HSP90. {ECO:0000250|UniProtKB:Q9BZJ0, ECO:0000269|PubMed:15189447}.
Q91X84	Crtc3 Torc3	SUBUNIT: Binding, as a tetramer, through its N-terminal region, with the bZIP domain of CREB1 enhances recruitment of TAF4 to the promoter. 'Arg-314' in the bZIP domain of CREB1 is essential for this interaction (By similarity). {ECO:0000250}.
Q8QZT4	Crb3	SUBUNIT: Interacts with MPP5, PARD6A and INADL. {ECO:0000250}.
P23927	Cryab Crya2	SUBUNIT: Heteropolymer composed of three CRYAA and one CRYAB subunits. Aggregates with homologous proteins, including the small heat shock protein HSPB1, to form large heteromeric complexes. Inter-subunit bridging via zinc ions enhances stability, which is crucial as there is no protein turn over in the lens. Interacts with HSPBAP1 and TTN/titin. Interacts with TMEM109. {ECO:0000250|UniProtKB:P02511}.
Q99KP3	Cryl1 Cry	SUBUNIT: Homodimer. {ECO:0000250}.
O54983	Crym	SUBUNIT: Homodimer. {ECO:0000250}.
Q8WUR0		
Q8CF25		
Q6P9K8	Caskin1 Kiaa1306	SUBUNIT: Binds the CaM kinase domain of CASK. Forms a ternary complex with CASK and LIN7A, LIN7B or LIN7C. Competes with APBA1 that forms a similar complex with CASK and LIN7 proteins. The tripartite complex CASKIN1/CASK/LIN7(A/B/C) binds the cytoplasmic tail of NRXN1. Polymerizes, via the tandem SAM domains, to form long, 8 nM wide fibers, upon which other proteins can assemble (By similarity). {ECO:0000250}.
Q8VHK1	Caskin2 Kiaa1139	SUBUNIT: May not bind CASK.
Q6RUT7	Ccsmst1	
Q99LD4	Gps1 Cops1 Csn1	SUBUNIT: Component of the CSN complex, composed of COPS1/GPS1, COPS2, COPS3, COPS4, COPS5, COPS6, COPS7 (COPS7A or COPS7B) and COPS8. In the complex, it probably interacts directly with COPS2, COPS3, COPS4 and COPS5. Interacts directly with inositol kinase ITPK1 (By similarity). Interacts with CAPN8. {ECO:0000250, ECO:0000269|PubMed:16476741, ECO:0000269|PubMed:9707402}.
Q9CZ04	Cops7a Csn7a	SUBUNIT: Component of the CSN complex, composed of COPS1/GPS1, COPS2, COPS3, COPS4, COPS5, COPS6, COPS7 (COPS7A or COPS7B) and COPS8. In the complex, it probably interacts directly with COPS1, COPS2, COPS4, COPS5, COPS6 and COPS8. Interacts with CK2 and PKD. Interacts with PMF1. Interacts with the translation initiation factor EIF3S6 (By similarity). Interacts directly with ID3. {ECO:0000250, ECO:0000269|PubMed:15451666, ECO:0000269|PubMed:9707402}.
P97315	Csrp1 Crp1 Csrp	SUBUNIT: Monomer. {ECO:0000250}.
Q99LI7	Cstf3	SUBUNIT: Homodimer. The CSTF complex is composed of CSTF1 (50 kDa subunit), CSTF2 (64 kDa subunit) and CSTF3 (77 kDa subunit). CSTF3 directly interacts with CSTF1 and CSTF2. Interacts with FIP1L1 (By similarity). {ECO:0000250}.
Q80WB0		
O88712	Ctbp1	SUBUNIT: Homo- or heterodimer. Heterodimer with CTBP2. Interacts with ELK3 (via its PXDLS motif). Interacts with RBBP8 (via its PXDLS motif). Interacts with PNN, MECOM, ZNF366 and ZFHX1B. Interaction with SATB1 (non-acetylated form); the interaction stabilizes its attachment to DNA and promotes transcription repression. Interacts with PRDM16; the interaction represses white adipose tissue (WAT)-specific genes expression. Interacts with GLIS2, HIPK2, FOXP1, FOXP2, HDAC4, HDAC5, HDAC9, NRIP1, WIZ and ZNF217. Interacts with BCL6; the interaction is required for BCL6 transcriptional autoinhibition and inhibition of some BCL6 target genes. Interacts with IKZF4. Interacts with FAM195B (unphosphorylated form, via the PXDLS motif); competitively inhibiting CTBP-ZEB1 interaction (By similarity). {ECO:0000250|UniProtKB:Q13363, ECO:0000269|PubMed:11022042, ECO:0000269|PubMed:14567915, ECO:0000269|PubMed:14701752, ECO:0000269|PubMed:14736873, ECO:0000269|PubMed:16326862, ECO:0000269|PubMed:16702210, ECO:0000269|PubMed:18483224, ECO:0000269|PubMed:19103759, ECO:0000269|PubMed:19696312}.
Q5SUQ9	Ctc1	SUBUNIT: Component of the CST complex, composed of TEN1/C17orf106, CTC1/C17orf68 and STN1/OBFC1; in the complex interacts directly with STN1/OBFC1. Interacts with ACD and POT1 (By similarity). {ECO:0000250|UniProtKB:Q2NKJ3, ECO:0000269|PubMed:19119139, ECO:0000269|PubMed:19854130}.
Q7TSG2	Ctdp1 Fcp1	SUBUNIT: Homodimer. Interacts with GTF2F1 (By similarity). Interacts with WDR77, SNRPB and SNRNP70 (By similarity). {ECO:0000250}.
P29268	Ctgf Ccn2 Fisp-12 Fisp12 Hcs24	SUBUNIT: Monomer. {ECO:0000250}.
P12400	Ctla2b	
O88327	Ctnnal1 Catnal1	SUBUNIT: Interacts with ARHGEF1. {ECO:0000250}.
Q9CR35	Ctrb1	
P49025	Cit Crik	SUBUNIT: Interacts with TTC3 (By similarity). Homodimer (Probable). Directly interacts with KIF14 depending on the activation state (stronger interaction with the kinase-dead form). {ECO:0000250, ECO:0000305}.
A2ARP9	Catsper2	SUBUNIT: Heterotetramer; possibly composed of CATSPER1, CATSPER2, CATSPER3 and CATSPER4 (Potential). Interacts with Ca(v)3.3/CACNA1I, leading to suppress T-type calcium channel activity (By similarity). Component of the CatSper complex. {ECO:0000250, ECO:0000269|PubMed:21224844, ECO:0000305}.
Q80W99	Catsper3	SUBUNIT: Heterotetramer; possibly composed of CATSPER1, CATSPER2, CATSPER3 and CATSPER4 (Potential). Component of the CatSper complex. Interacts with CATSPER1. {ECO:0000269|PubMed:17227845, ECO:0000269|PubMed:21224844, ECO:0000305}.
A2RTF1	Catsperb	SUBUNIT: Component of the CatSper complex. {ECO:0000269|PubMed:17478420, ECO:0000269|PubMed:19516020, ECO:0000269|PubMed:21224844}.
B9EJA2	Cttnbp2 Kiaa1758	SUBUNIT: Interacts with CTTN/cortactin SH3 domain. Interacts with STRN, STRN4/zinedin and MOB4/phocein; this interaction may regulate dendritic spine distribution of STRN and STRN4 in hippocampal neurons (By similarity). Activation of glutamate receptors weakens the interaction with STRN and STRN4 (By similarity). {ECO:0000250}.
